ppn,video_id,group,animation_name,duration,valence,arousal,confidence,interaction_score
19,40,dizzy,anim_dizzy_reaction_soft_03,00:05:00,-0.49,0.47,0.75,1
19,95,happy,anim_greeting_happy_03_head_angle_20,00:04:00,-0.29,0.47,0.59,1
19,50,fail,anim_memorymatch_solo_failhand_player_01,00:02:00,0.01,0.14,0.71,1
19,346,win,majorwin,00:02:00,0.02,0.2,0.86,1
19,183,petdetection,anim_petdetection_dog_02_head_angle_40,00:13:00,-0.84,0.89,0.7,1
20,340,win,anim_speedtap_winround_intensity02_02,00:03:00,0.31,-0.34,0.68,5
20,8,ask,anim_reacttoblock_ask_01_0,00:03:00,-0.1,0.36,0.51,5
20,16,badword,anim_cozmosays_badword_02,00:03:00,0.21,-0.19,0.62,5
20,177,petdetection,anim_petdetection_cat_02_head_angle_40,00:11:00,0.02,-0.83,0.5,5
20,44,fail,anim_pounce_fail_02,00:03:00,0.06,-0.18,0.73,5
20,67,find,anim_speedtap_findsplayer_01,00:01:00,-0.22,-0.19,0.69,5
20,220,reacttoface,anim_freeplay_reacttoface_identified_03_head_angle_20,00:02:00,-0.14,-0.11,0.61,5
20,23,bored,anim_bored_02,00:01:00,0.43,-0.57,0.67,5
20,34,dizzy,anim_dizzy_shake_loop_01,00:06:00,-0.2,0.69,0.59,5
20,285,succes,anim_memorymatch_successhand_cozmo_01,00:01:00,-0.1,-0.55,0.71,5
21,14,badword,anim_cozmosays_badword_01_head_angle_-20,00:03:00,0.25,0.33,0.58,1
21,6,ask,anim_rtpkeepaway_askforgame_01,00:03:00,0.35,-0.24,0.7,1
21,21,bored,anim_bored_01,00:01:00,0.49,-0.19,0.73,1
21,175,petdetection,anim_petdetection_dog_01_head_angle_40,00:06:00,0.72,0.21,0.8,1
21,32,dizzy,anim_dizzy_pickup_02,00:03:00,-0.49,0.66,0.76,1
21,321,turtleroll,anim_reacttocliff_turtleroll_05,00:09:00,0.01,0.26,0.54,1
21,218,reacttoface,anim_reacttoface_unidentified_02_head_angle_20,00:02:00,-0.01,0.01,0.66,1
21,29,celebrate,anim_meetcozmo_celebration,00:10:00,0.32,-0.52,0.78,1
21,283,succes,anim_reacttoblock_success_01_head_angle_-20,00:02:00,0.36,-0.4,0.87,1
21,338,win,anim_keepaway_wingame_01,00:04:00,0.65,0.22,0.94,1
22,61,fail,anim_thirdblocktower_fail_01,00:03:00,-0.21,-0.43,0.48,1
22,206,reacttoface,anim_freeplay_reacttoface_sayname_01,00:03:00,0.25,0.53,0.67,1
22,271,succes,anim_memorymatch_successhand_player_02,00:04:00,0.6,0.21,0.51,1
22,265,stuck,anim_reacttoblock_stuckonblock_01,00:05:00,-0.45,0.29,0.52,1
22,302,thankyou,anim_pyramid_thankyou_01,00:01:00,-0.13,-0.27,0.62,1
22,253,sleep,anim_gotosleep_getout_01,00:05:00,-0.81,-0.39,0.4,1
22,263,struggle,anim_memorymatch_reacttopattern_struggle_03,00:01:00,0,0.66,0.43,1
22,163,petdetection,anim_petdetection_dog_03_head_angle_-20,00:08:00,0.24,0.78,0.49,1
22,244,request,anim_peekaboo_requesttwice_01,00:04:00,-0.57,0.89,0.57,1
22,139,lose,anim_speedtap_losehand_02,00:01:00,-0.41,0.31,0.49,1
23,297,succes,anim_sparking_success_02,00:04:00,0.79,1,1,1
23,131,lose,anim_speedtap_loseround_intensity01_01,00:03:00,-0.67,0.76,0.95,1
23,145,lowenergy,anim_workout_lowenergy_strong_01,00:05:00,-0.66,0.47,0.93,1
23,232,reacttoface,anim_reacttoface_unidentified_01_head_angle_40,00:02:00,-0.01,-0.01,0.77,1
23,56,fail,anim_pounce_fail_01,00:03:00,-0.43,0.19,1,1
23,113,hiccup,anim_hiccup_getin,00:02:00,-0.22,-0.35,0.86,1
23,151,match_no,anim_rtpmemorymatch_no_02,00:04:00,-0.81,0.09,0.83,1
23,101,happy,anim_greeting_happy_03_head_angle_-20,00:04:00,-0.04,0.91,0.92,1
23,123,highenergy,anim_workout_highenergy_getready_01,00:04:00,-0.19,-0.17,0.95,1
23,86,guarddog,anim_guarddog_getout_playersucess_01,00:09:00,-0.46,0.26,0.91,1
24,98,happy,anim_greeting_happy_02,00:04:00,0.06,0.43,0.45,1
24,50,fail,anim_memorymatch_solo_failhand_player_01,00:02:00,0,0.72,0.61,1
24,25,bored,anim_bored_getout_01,00:01:00,-0.2,0.07,0.42,1
24,111,hiccup,anim_hiccup_faceplant_02,00:02:00,0.32,0.82,0.42,1
24,120,highenergy,anim_workout_highenergy_trans_01,00:02:00,0.06,0.19,0.45,1
24,9,ask,anim_speedtap_ask2play_01,00:01:00,-0.34,0.29,0.51,1
24,125,ideatoplay,anim_rtpkeepaway_ideatoplay_02,00:03:00,0.48,0.13,0.52,1
24,17,badword,anim_cozmosays_badword_02_head_angle_40,00:03:00,-0.34,0.17,0.39,1
24,38,dizzy,anim_dizzy_pickup_01,00:02:00,-0.49,0.28,0.48,1
24,82,guarddog,anim_guarddog_interruption_01,00:08:00,-0.65,0.61,0.59,1
25,121,highenergy,anim_workout_highenergy_weak_01,00:02:00,0.37,-0.73,0.9,2
25,54,fail,anim_memorymatch_failhand_player_03,00:02:00,0.36,0.14,0.75,2
25,295,succes,anim_sparking_success_01,00:02:00,-0.61,-0.8,0.9,2
25,111,hiccup,anim_hiccup_faceplant_02,00:02:00,0.16,-0.7,0.75,2
25,84,guarddog,anim_guarddog_getout_busted_01,00:09:00,-0.1,0.63,0.9,2
25,99,happy,anim_pyramid_reacttocube_happy_mid_01,00:01:00,-0.64,-0.87,0.75,2
25,230,reacttoface,anim_freeplay_reacttoface_longname_01,00:02:00,-0.89,-0.87,1,2
25,129,lose,anim_speedtap_losehand_01,00:01:00,-0.55,-0.84,1,2
25,187,petdetection,anim_petdetection_shortreaction_01_head_angle_20,00:02:00,-0.16,-0.82,0.8,2
25,126,ideatoplay,anim_rtpkeepaway_ideatoplay_01,00:03:00,-0.71,-0.78,1,2
26,90,guarddog,anim_guarddog_sleeploop_01,00:05:00,-0.51,-0.42,0.57,3
26,136,lose,anim_keepaway_losegame_03,00:06:00,-0.36,-0.07,0.63,3
26,198,reacttocube,anim_launch_reacttocubepickup,00:05:00,0.56,0.4,0.83,3
26,58,fail,anim_memorymatch_failgame_player_03,00:03:00,-0.79,-0.48,0.77,3
26,203,reacttoface,anim_freeplay_reacttoface_sayname_03_head_angle_-20,00:01:00,-0.94,-0.74,0.33,3
26,191,playerno,anim_speedtap_playerno_01,00:02:00,-0.94,-0.09,0.65,3
26,160,petdetection,anim_petdetection_shortreaction_02,00:03:00,-0.31,-0.57,0.51,3
26,195,playeryes,anim_rtpkeepaway_playeryes_01,00:02:00,-0.36,-0.13,0.62,3
26,241,request,anim_rtpmemorymatch_request_03,00:02:00,-0.08,-0.29,0.62,3
26,238,reenrollment,anim_meetcozmo_reenrollment_sayname_01,00:03:00,-0.09,0.75,0.73,3
27,69,frustrated,anim_reacttoblock_frustrated_int1_01,00:01:00,0.71,-0.82,0.94,2
27,46,fail,anim_memorymatch_failhand_player_01,00:02:00,0.88,-0.69,0.95,2
27,75,giggle,id_poked_giggle,00:01:00,0.94,-0.65,0.97,2
27,76,guarddog,anim_guarddog_fakeout_02,00:04:00,0.69,-0.79,0.94,2
27,342,win,anim_speedtap_wingame_intensity02_01,00:07:00,0.84,-0.54,0.98,2
27,25,bored,anim_bored_getout_01,00:01:00,0.85,-0.96,0.54,2
27,36,dizzy,anim_dizzy_reaction_soft_01,00:02:00,0.79,-0.39,0.88,2
27,179,petdetection,anim_petdetection_shortreaction_02_head_angle_40,00:02:00,0.88,-0.82,0.94,2
27,222,reacttoface,anim_freeplay_reacttoface_sayname_01_head_angle_40,00:03:00,0.89,-0.46,0.97,2
27,287,succes,anim_memorymatch_solo_successgame_player_01,00:02:00,0.92,-0.46,0.97,2
28,52,fail,anim_memorymatch_failgame_cozmo_01,00:04:00,-0.82,0.74,0.86,1
28,145,lowenergy,anim_workout_lowenergy_strong_01,00:05:00,-0.8,0.43,0.82,1
28,151,match_no,anim_rtpmemorymatch_no_02,00:04:00,0.24,0.46,0.85,1
28,130,lose,anim_speedtap_losegame_intensity03_02,00:05:00,-0.62,0.14,0.81,1
28,100,happy,anim_reacttoblock_happydetermined_02,00:01:00,0.85,-0.6,0.96,1
28,127,ideatoplay,anim_rtpkeepaway_ideatoplay_03,00:02:00,0.81,-0.21,0.89,1
28,122,highenergy,anim_workout_highenergy_strong_01,00:01:00,-0.05,0.03,0.54,1
28,113,hiccup,anim_hiccup_getin,00:02:00,-0.51,-0.18,0.58,1
28,84,guarddog,anim_guarddog_getout_busted_01,00:09:00,-0.92,0.82,0.86,1
28,40,dizzy,anim_dizzy_reaction_soft_03,00:05:00,-0.09,0.93,0.79,1
29,199,reacttocube,anim_launch_reacttocube,00:02:00,0.15,-0.7,0.71,1
29,203,reacttoface,anim_freeplay_reacttoface_sayname_03_head_angle_-20,00:01:00,0.09,-0.71,0.73,1
29,162,petdetection,anim_petdetection_cat_01_head_angle_40,00:09:00,0.66,-0.62,0.97,1
29,240,reenrollment,anim_meetcozmo_reenrollment_sayname_02,00:03:00,0.57,-0.59,0.99,1
29,262,struggle,anim_memorymatch_reacttopattern_struggle_02,00:07:00,0.13,-0.82,0.99,1
29,195,playeryes,anim_rtpkeepaway_playeryes_01,00:02:00,0.23,-0.75,0.94,1
29,243,request,anim_rtpmemorymatch_request_01,00:02:00,0.13,-0.74,0.54,1
29,253,sleep,anim_gotosleep_getout_01,00:05:00,-0.46,-0.81,0.63,1
29,64,fail,anim_memorymatch_failgame_player_02,00:03:00,0.61,-0.84,0.97,1
29,139,lose,anim_speedtap_losehand_02,00:01:00,0.54,-0.14,0.83,1
30,47,fail,anim_memorymatch_failhand_player_02,00:02:00,-0.74,0.02,0.32,1
30,180,petdetection,anim_petdetection_cat_02_head_angle_-20,00:11:00,-0.95,-0.34,0.66,1
30,343,win,anim_speedtap_winhand_01,00:01:00,-0.82,-0.78,0.65,1
30,223,reacttoface,anim_freeplay_reacttoface_identified_02_head_angle_40,00:01:00,-0.88,-0.79,0.77,1
30,77,guarddog,anim_guarddog_fakeout_03,00:02:00,-0.93,-0.84,0.78,1
30,37,dizzy,anim_dizzy_shake_stop_01,00:04:00,-0.93,-0.57,0.6,1
30,92,happy,anim_pyramid_reacttocube_happy_high_01,00:02:00,-0.93,-0.85,0.84,1
30,70,frustrated,anim_reacttoblock_frustrated_01,00:01:00,-0.84,-0.82,0.75,1
30,104,hello,anim_launch_firsttimewakeup_helloplayer,00:16:00,-0.9,-0.13,0.7,1
30,288,succes,anim_pounce_success_01,00:02:00,-0.88,-0.81,0.8,1
31,191,playerno,anim_speedtap_playerno_01,00:02:00,0.15,0.42,0.66,5
